I find death by human to be more humane than death by any other cause that most game or livestock animals could hope for	Probably not even a bolt to the brain either.	0	27
I find death by human to be more humane than death by any other cause that most game or livestock animals could hope for	I agree that synthetic meat would be absolutely amazing though!	0	26
I find death by human to be more humane than death by any other cause that most game or livestock animals could hope for	I may have a different stance on seeing no difference between companion animals and farm animals	0	9
I find death by human to be more humane than death by any other cause that most game or livestock animals could hope for	does not mean they suffer any differently to their wild cousins.	0	12
At the best	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	40
At the best	I personally don't see any distinction between my pet dog and a chicken.	0	31
At the best	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	1	29
At the best	Probably not even a bolt to the brain either.	0	28
At the best	I agree that synthetic meat would be absolutely amazing though!	0	27
At the best	I may have a different stance on seeing no difference between companion animals and farm animals	0	8
At the best	does not mean they suffer any differently to their wild cousins.	0	11
chickens, pigs, deer, and cows would have their throats ripped out by weasels or wolves or whatever other predator.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	41
chickens, pigs, deer, and cows would have their throats ripped out by weasels or wolves or whatever other predator.	I personally don't see any distinction between my pet dog and a chicken.	0	32
chickens, pigs, deer, and cows would have their throats ripped out by weasels or wolves or whatever other predator.	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	30
chickens, pigs, deer, and cows would have their throats ripped out by weasels or wolves or whatever other predator.	Probably not even a bolt to the brain either.	0	29
chickens, pigs, deer, and cows would have their throats ripped out by weasels or wolves or whatever other predator.	I agree that synthetic meat would be absolutely amazing though!	0	28
